,Sell_price,Date_of_sale,Type,sqm_price,Rooms,m2,Building_year,building_address,location,latitude,longitude
11,2198000,2005-11-26, Ejerlejlighed ,31855,3,69,1932,Ane Katrines Vej 28 Frederiksberg,"28, Ane Katrines Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.69243,12.53481
12,550000,1997-05-27, Ejerlejlighed ,7971,3,69,1932,Ane Katrines Vej 28 Frederiksberg,"28, Ane Katrines Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.69243,12.53481
13,2200000,2005-12-30, Ejerlejlighed ,26506,3,83,1973,Bernhard Bangs Alle 9 Frederiksberg,"9, Bernhard Bangs Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.684277,12.511576
14,2995000,2006-04-21, Ejerlejlighed ,34034,3,88,1973,Bernhard Bangs Alle 9 Frederiksberg,"9, Bernhard Bangs Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.684277,12.511576
15,1098648,1998-06-11, Ejerlejlighed ,12485,2,88,1973,Bernhard Bangs Alle 9 Frederiksberg,"9, Bernhard Bangs Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.684277,12.511576
16,930000,1996-09-09, Ejerlejlighed ,10568,2,88,1973,Bernhard Bangs Alle 9 Frederiksberg,"9, Bernhard Bangs Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.684277,12.511576
17,900000,2002-01-21, Ejerlejlighed ,10227,3,88,1973,Bernhard Bangs Alle 9 Frederiksberg,"9, Bernhard Bangs Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.684277,12.511576
18,1650000,2004-08-24, Ejerlejlighed ,18750,3,88,1973,Bernhard Bangs Alle 9 Frederiksberg,"9, Bernhard Bangs Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.684277,12.511576
19,1097971,1999-01-13, Ejerlejlighed ,12477,3,88,1973,Bernhard Bangs Alle 9 Frederiksberg,"9, Bernhard Bangs Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.684277,12.511576
20,3435000,2006-01-01, Ejerlejlighed ,37337,2,92,1733,Åbenrå 25 København K,"25, Åbenrå, Frederiksstaden, København, Københavns Kommune, Region Hovedstaden, 1124, Danmark",55.683326,12.575715
21,2550000,2006-07-12, Ejerlejlighed ,41129,1,62,1733,Åbenrå 25 København K,"25, Åbenrå, Frederiksstaden, København, Københavns Kommune, Region Hovedstaden, 1124, Danmark",55.683326,12.575715
22,1125000,2006-01-02, Ejerlejlighed ,27439,1,41,1936,Kastrupvej 88 København S,"88, Kastrupvej, Kastrup, Tårnby Kommune, Region Hovedstaden, 2300, Danmark",55.653113,12.619337
23,1369925,2006-04-25, Ejerlejlighed ,41513,1,33,1936,Kastrupvej 88 København S,"88, Kastrupvej, Kastrup, Tårnby Kommune, Region Hovedstaden, 2300, Danmark",55.653113,12.619337
24,645000,2001-04-20, Ejerlejlighed ,15732,1,41,1936,Kastrupvej 88 København S,"88, Kastrupvej, Kastrup, Tårnby Kommune, Region Hovedstaden, 2300, Danmark",55.653113,12.619337
25,880000,2006-01-02, Ejerlejlighed ,16296,2,54,1902,Marstalsgade 21 København Ø,"21, Marstalsgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.703871,12.586652
26,1295000,2005-03-18, Ejerlejlighed ,26429,2,49,1902,Marstalsgade 21 København Ø,"21, Marstalsgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.703871,12.586652
27,3895000,2006-01-02, Ejerlejlighed ,35090,4,111,1916,Rolfsvej 37 Frederiksberg,"37, Rolfsvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.683937,12.531794
28,7195000,2006-10-23, Ejerlejlighed ,48946,5,147,1916,Rolfsvej 37 Frederiksberg,"37, Rolfsvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.683937,12.531794
29,4750000,2005-06-16, Ejerlejlighed ,29503,5,161,1916,Rolfsvej 37 Frederiksberg,"37, Rolfsvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.683937,12.531794
30,3695000,2005-07-10, Ejerlejlighed ,38093,4,97,1916,Rolfsvej 37 Frederiksberg,"37, Rolfsvej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.683937,12.531794
31,1450000,2006-01-02, Ejerlejlighed ,27885,2,52,1933,Birkedommervej 24 København NV,,,
32,684780,2001-06-01, Ejerlejlighed ,13169,2,52,1933,Birkedommervej 24 København NV,,,
33,1975000,2006-01-02, Ejerlejlighed ,31855,2,62,1905,Brammingegade 8 København Ø,"8, Brammingegade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.70647,12.578505
34,1650000,2006-01-03, Ejerlejlighed ,31132,2,53,1906,P.D. Løvs Allé 9B København N,"9B, P.D. Løvs Allé, Dagmargade Mimersgade Jagtvej Bragesgade, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.69758,12.550279
35,1035000,2002-07-04, Ejerlejlighed ,19528,2,53,1906,P.D. Løvs Allé 9B København N,"9B, P.D. Løvs Allé, Dagmargade Mimersgade Jagtvej Bragesgade, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.69758,12.550279
36,1415000,2007-08-07, Ejerlejlighed ,26698,2,53,1906,P.D. Løvs Allé 9B København N,"9B, P.D. Løvs Allé, Dagmargade Mimersgade Jagtvej Bragesgade, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.69758,12.550279
37,2900000,2006-01-03, Ejerlejlighed ,25217,4,115,1990,Borups Alle 132 Frederiksberg,"132, Borups Allé, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.694295,12.531369
38,2800000,2006-01-03, Ejerlejlighed ,31111,3,90,1901,Geislersgade 11 København S,"11, Geislersgade, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.664298,12.606029
39,1095000,2006-01-03, Villa ,26071,1,42,1922,Holger Danskes Vej 28A Frederiksberg,"28A, Holger Danskes Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.68689000000001,12.537309
40,1185000,2005-12-21, Villa ,26932,1,44,1922,Holger Danskes Vej 28A Frederiksberg,"28A, Holger Danskes Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.68689000000001,12.537309
41,6100000,2006-05-01, Villa ,184848,1,33,1922,Holger Danskes Vej 28A Frederiksberg,"28A, Holger Danskes Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.68689000000001,12.537309
42,875000,2005-08-30, Villa ,26515,1,33,1922,Holger Danskes Vej 28A Frederiksberg,"28A, Holger Danskes Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.68689000000001,12.537309
43,875000,2005-08-30, Villa ,27344,1,32,1922,Holger Danskes Vej 28A Frederiksberg,"28A, Holger Danskes Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.68689000000001,12.537309
44,875000,2005-08-30, Villa ,27344,1,32,1922,Holger Danskes Vej 28A Frederiksberg,"28A, Holger Danskes Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.68689000000001,12.537309
45,875000,2005-08-30, Villa ,26515,1,33,1922,Holger Danskes Vej 28A Frederiksberg,"28A, Holger Danskes Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.68689000000001,12.537309
46,1050000,2005-07-14, Villa ,23864,1,44,1922,Holger Danskes Vej 28A Frederiksberg,"28A, Holger Danskes Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.68689000000001,12.537309
47,850000,2005-07-14, Villa ,26563,1,32,1922,Holger Danskes Vej 28A Frederiksberg,"28A, Holger Danskes Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.68689000000001,12.537309
48,850000,2005-09-12, Villa ,25758,1,33,1922,Holger Danskes Vej 28A Frederiksberg,"28A, Holger Danskes Vej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.68689000000001,12.537309
49,1400000,2006-01-03, Ejerlejlighed ,35897,1,39,1974,Drejøgade 26D København Ø,"26D, Drejøgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.711341,12.57212
50,1270000,2004-06-16, Ejerlejlighed ,19844,2,64,1974,Drejøgade 26D København Ø,"26D, Drejøgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.711341,12.57212
51,678800,1998-05-25, Ejerlejlighed ,10606,2,64,1974,Drejøgade 26D København Ø,"26D, Drejøgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.711341,12.57212
52,1275000,2002-08-15, Ejerlejlighed ,25500,2,50,1974,Drejøgade 26D København Ø,"26D, Drejøgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.711341,12.57212
53,582465,2001-09-28, Ejerlejlighed ,10219,2,57,1974,Drejøgade 26D København Ø,"26D, Drejøgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.711341,12.57212
54,1225000,2004-02-22, Ejerlejlighed ,19141,2,64,1974,Drejøgade 26D København Ø,"26D, Drejøgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.711341,12.57212
55,1102335,2004-03-24, Ejerlejlighed ,17224,2,64,1974,Drejøgade 26D København Ø,"26D, Drejøgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.711341,12.57212
56,1181000,2004-07-22, Ejerlejlighed ,18453,2,64,1974,Drejøgade 26D København Ø,"26D, Drejøgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.711341,12.57212
57,676000,1998-09-15, Ejerlejlighed ,10563,2,64,1974,Drejøgade 26D København Ø,"26D, Drejøgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.711341,12.57212
58,737000,1998-10-05, Ejerlejlighed ,11516,2,64,1974,Drejøgade 26D København Ø,"26D, Drejøgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.711341,12.57212
59,2695000,2006-01-03, Ejerlejlighed ,25913,3,104,2006,Porcelænshaven 5A Frederiksberg,"5A, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678133,12.524324
60,2495000,2005-12-08, Ejerlejlighed ,28678,2,87,2006,Porcelænshaven 5A Frederiksberg,"5A, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678133,12.524324
61,2895000,2005-12-08, Ejerlejlighed ,29242,3,99,2006,Porcelænshaven 5A Frederiksberg,"5A, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678133,12.524324
62,2795000,2005-12-08, Ejerlejlighed ,26875,3,104,2006,Porcelænshaven 5A Frederiksberg,"5A, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678133,12.524324
63,2895000,2005-12-19, Ejerlejlighed ,27837,3,104,2006,Porcelænshaven 5A Frederiksberg,"5A, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678133,12.524324
64,3395000,2006-04-10, Ejerlejlighed ,33614,3,101,2006,Porcelænshaven 5A Frederiksberg,"5A, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678133,12.524324
65,2875000,2006-01-04, Ejerlejlighed ,29337,3,98,1914,Falkoner Alle 46 Frederiksberg,"46, Falkoner Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.682973,12.536211
66,1030000,1997-05-16, Ejerlejlighed ,7203,5,143,1914,Falkoner Alle 46 Frederiksberg,"46, Falkoner Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.682973,12.536211
67,4800000,2006-01-04, Ejerlejlighed ,41379,3,116,2003,Øresund Parkvej 6 København S,"6, Øresund Parkvej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.66389,12.62771
68,2995000,2006-04-19, Ejerlejlighed ,33652,3,89,2003,Øresund Parkvej 6 København S,"6, Øresund Parkvej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.66389,12.62771
69,2297600,2003-09-25, Ejerlejlighed ,19807,3,116,2003,Øresund Parkvej 6 København S,"6, Øresund Parkvej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.66389,12.62771
70,2282535,2003-10-12, Ejerlejlighed ,19677,3,116,2003,Øresund Parkvej 6 København S,"6, Øresund Parkvej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.66389,12.62771
71,1801765,2003-10-14, Ejerlejlighed ,20245,2,89,2003,Øresund Parkvej 6 København S,"6, Øresund Parkvej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.66389,12.62771
72,650000,2006-01-05, Ejerlejlighed ,8442,3,77,1944,Tartinisvej 32 København SV,,,
73,950000,2005-04-25, Ejerlejlighed ,19000,2,50,1944,Tartinisvej 32 København SV,,,
74,950000,2004-01-21, Ejerlejlighed ,16964,2,56,1944,Tartinisvej 32 København SV,,,
75,1299000,2007-06-17, Ejerlejlighed ,23196,2,56,1944,Tartinisvej 32 København SV,,,
76,915000,2002-06-07, Ejerlejlighed ,16339,2,56,1944,Tartinisvej 32 København SV,,,
77,1000000,2007-10-04, Ejerlejlighed ,20000,2,50,1944,Tartinisvej 32 København SV,,,
78,1150000,2007-07-08, Ejerlejlighed ,20536,2,56,1944,Tartinisvej 32 København SV,,,
79,421000,1998-03-23, Ejerlejlighed ,7518,2,56,1944,Tartinisvej 32 København SV,,,
80,850000,2004-05-17, Ejerlejlighed ,15179,2,56,1944,Tartinisvej 32 København SV,,,
81,3895000,2006-01-05, Ejerlejlighed ,32731,4,119,1873,Herluf Trolles Gade 22 København K,"22, Herluf Trolles Gade, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1052, Danmark",55.67851999999999,12.59114
82,1917808,1997-09-26, Ejerlejlighed ,11766,6,163,1873,Herluf Trolles Gade 22 København K,"22, Herluf Trolles Gade, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1052, Danmark",55.67851999999999,12.59114
83,474912,1997-10-23, Ejerlejlighed ,3991,4,119,1873,Herluf Trolles Gade 22 København K,"22, Herluf Trolles Gade, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1052, Danmark",55.67851999999999,12.59114
84,2180000,2005-02-14, Ejerlejlighed ,18319,4,119,1873,Herluf Trolles Gade 22 København K,"22, Herluf Trolles Gade, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1052, Danmark",55.67851999999999,12.59114
85,1969980,1997-06-18, Ejerlejlighed ,11939,6,165,1873,Herluf Trolles Gade 22 København K,"22, Herluf Trolles Gade, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1052, Danmark",55.67851999999999,12.59114
86,5600000,2007-06-25, Ejerlejlighed ,34356,6,163,1873,Herluf Trolles Gade 22 København K,"22, Herluf Trolles Gade, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 1052, Danmark",55.67851999999999,12.59114
87,2670000,2006-01-05, Ejerlejlighed ,33797,2,79,2006,Lergravsvej 58 København S,"58, Lergravsvej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.663571,12.62545
88,2795000,2005-06-27, Ejerlejlighed ,26875,4,104,2006,Lergravsvej 58 København S,"58, Lergravsvej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.663571,12.62545
89,3100000,2005-05-30, Ejerlejlighed ,29808,4,104,2006,Lergravsvej 58 København S,"58, Lergravsvej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.663571,12.62545
90,2298000,2006-01-05, Ejerlejlighed ,35906,2,64,1917,Korsørgade 34 København Ø,"34, Korsørgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.707079,12.583836
91,1240000,2003-12-30, Ejerlejlighed ,19077,2,65,1917,Korsørgade 34 København Ø,"34, Korsørgade, Indre Østerbro, Østerbro, København, Københavns Kommune, Region Hovedstaden, 2100, Danmark",55.707079,12.583836
92,2099000,2006-01-05, Ejerlejlighed ,28365,3,74,1932,Søllerødgade 32 København N,"32, Søllerødgade, Nørrebrogade Kronborggade jagtvej, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.695363,12.545146
93,1602629,2003-11-12, Ejerlejlighed ,23227,3,69,1932,Søllerødgade 32 København N,"32, Søllerødgade, Nørrebrogade Kronborggade jagtvej, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.695363,12.545146
94,1930000,2007-03-16, Ejerlejlighed ,26081,3,74,1932,Søllerødgade 32 København N,"32, Søllerødgade, Nørrebrogade Kronborggade jagtvej, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.695363,12.545146
95,1864262,2007-04-05, Ejerlejlighed ,25193,2,74,1932,Søllerødgade 32 København N,"32, Søllerødgade, Nørrebrogade Kronborggade jagtvej, Nørrebro, København, Københavns Kommune, Region Hovedstaden, 2200, Danmark",55.695363,12.545146
96,7200000,2006-01-06, Ejerlejlighed ,45570,3,158,1952,Galionsvej 3 København K,"3, Galionsvej, Margretheholm, Frederiksstaden, København, Københavns Kommune, Region Hovedstaden, 1437, Danmark",55.678932,12.60594
97,2850000,2003-03-10, Ejerlejlighed ,25221,3,113,1952,Galionsvej 3 København K,"3, Galionsvej, Margretheholm, Frederiksstaden, København, Københavns Kommune, Region Hovedstaden, 1437, Danmark",55.678932,12.60594
98,5150000,2004-03-19, Ejerlejlighed ,26963,3,191,1952,Galionsvej 3 København K,"3, Galionsvej, Margretheholm, Frederiksstaden, København, Københavns Kommune, Region Hovedstaden, 1437, Danmark",55.678932,12.60594
99,2795000,2006-01-06, Ejerlejlighed ,22360,4,125,2006,Porcelænshaven 5C Frederiksberg,"5C, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678112,12.523734
100,4495000,2005-12-08, Ejerlejlighed ,26916,4,167,2006,Porcelænshaven 5C Frederiksberg,"5C, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678112,12.523734
101,3395000,2005-12-08, Ejerlejlighed ,28292,2,120,2006,Porcelænshaven 5C Frederiksberg,"5C, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678112,12.523734
102,2995000,2005-12-19, Ejerlejlighed ,23960,4,125,2006,Porcelænshaven 5C Frederiksberg,"5C, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678112,12.523734
103,2045000,2005-12-19, Ejerlejlighed ,24639,2,83,2006,Porcelænshaven 5C Frederiksberg,"5C, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678112,12.523734
104,1945000,2006-06-07, Ejerlejlighed ,23434,2,83,2006,Porcelænshaven 5C Frederiksberg,"5C, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678112,12.523734
105,2295000,2006-01-08, Ejerlejlighed ,31438,3,73,1936,Frankrigshusene 7 København S,"7, Frankrigshusene, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.66243000000001,12.607834
106,2675000,2006-01-08, Ejerlejlighed ,31471,3,85,2004,Teglholm Tværvej 25 København SV,,,
107,1545000,2005-03-10, Ejerlejlighed ,22391,2,69,2004,Teglholm Tværvej 25 København SV,,,
108,2030000,2005-08-01, Ejerlejlighed ,23882,3,85,2004,Teglholm Tværvej 25 København SV,,,
109,1845000,2006-01-08, Ejerlejlighed ,21706,4,85,1989,Rentemestervej 19E København NV,,,
110,5600000,2006-01-09, Villa ,22400,9,250,1899,Virginiavej 5 Frederiksberg,"5, Virginiavej, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678787,12.525008
111,4400000,2006-01-09, Villa ,50000,4,88,1937,Funkiavej 41 København S,"41, Funkiavej, Christianshavn, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.647941,12.606893
112,3030000,2006-01-09, Villa ,26348,6,115,1955,Stenlandsvej 48 København S,"48, Stenlandsvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.641674,12.590706
113,2843670,2006-01-09, Ejerlejlighed ,29622,2,96,2007,C.F. Møllers Allé 32 København S,"32, C.F. Møllers Allé, Enghave Brygge, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.634652,12.576229
114,3119240,2005-12-20, Ejerlejlighed ,25360,2,123,2007,C.F. Møllers Allé 32 København S,"32, C.F. Møllers Allé, Enghave Brygge, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.634652,12.576229
115,2333300,2005-12-21, Ejerlejlighed ,24305,2,96,2007,C.F. Møllers Allé 32 København S,"32, C.F. Møllers Allé, Enghave Brygge, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.634652,12.576229
116,3273410,2005-12-22, Ejerlejlighed ,26613,2,123,2007,C.F. Møllers Allé 32 København S,"32, C.F. Møllers Allé, Enghave Brygge, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.634652,12.576229
117,3224810,2006-03-14, Ejerlejlighed ,33592,3,96,2007,C.F. Møllers Allé 32 København S,"32, C.F. Møllers Allé, Enghave Brygge, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.634652,12.576229
118,3685030,2006-04-03, Ejerlejlighed ,29960,2,123,2007,C.F. Møllers Allé 32 København S,"32, C.F. Møllers Allé, Enghave Brygge, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.634652,12.576229
119,5295000,2006-01-09, Ejerlejlighed ,42702,4,124,2007,Sylows Alle 23 Frederiksberg,"23, Sylows Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.680053,12.530479
120,4995000,2006-03-31, Ejerlejlighed ,45826,3,109,2007,Sylows Alle 23 Frederiksberg,"23, Sylows Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.680053,12.530479
121,4495000,2006-06-13, Ejerlejlighed ,41620,3,108,2007,Sylows Alle 23 Frederiksberg,"23, Sylows Alle, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.680053,12.530479
122,1995000,2006-01-09, Ejerlejlighed ,21685,3,92,1989,Rentemestervej 19D København NV,,,
123,2795000,2006-01-09, Villa ,19144,6,146,1939,Agerlandsvej 50 København S,"50, Agerlandsvej, København, Københavns Kommune, Region Hovedstaden, 2300, Danmark",55.641041,12.592725
124,2895000,2006-01-09, Ejerlejlighed ,29541,3,98,2006,Porcelænshaven 5B Frederiksberg,"5B, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678158,12.523995
125,2725000,2006-01-09, Ejerlejlighed ,27806,3,98,2006,Porcelænshaven 5B Frederiksberg,"5B, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678158,12.523995
126,3495000,2005-12-19, Ejerlejlighed ,34950,2,100,2006,Porcelænshaven 5B Frederiksberg,"5B, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678158,12.523995
127,2495000,2005-12-08, Ejerlejlighed ,29012,2,86,2006,Porcelænshaven 5B Frederiksberg,"5B, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678158,12.523995
128,2295000,2005-12-19, Ejerlejlighed ,26686,2,86,2006,Porcelænshaven 5B Frederiksberg,"5B, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678158,12.523995
129,2995000,2005-12-19, Ejerlejlighed ,34826,2,86,2006,Porcelænshaven 5B Frederiksberg,"5B, Porcelænshaven, Frederiksberg, Frederiksberg Kommune, Region Hovedstaden, 2000, Danmark",55.678158,12.523995
