,Unnamed: 0,Address,Sell_price,Date_of_sale,Type,sqm_price,Rooms,m2,Building_year
19,19," Tartinisvej 32, st. 2, 2450 København SV",650000,2006-01-05, Ejerlejlighed ,8442,3,77,1944
20,20," Herluf Trolles Gade 22, 2. tv, 1052 København K",3895000,2006-01-05, Ejerlejlighed ,32731,4,119,1873
21,21," Lergravsvej 58, 2. tv, 2300 København S",2670000,2006-01-05, Ejerlejlighed ,33797,2,79,2006
22,22," Korsørgade 34, 4. tv, 2100 København Ø",2298000,2006-01-05, Ejerlejlighed ,35906,2,64,1917
23,23," Søllerødgade 32, st. th, 2200 København N",2099000,2006-01-05, Ejerlejlighed ,28365,3,74,1932
24,24," Galionsvej 3, 3. 1, 1437 København K",7200000,2006-01-06, Ejerlejlighed ,45570,3,158,1952
25,25," Porcelænshaven 5C, 1. th, 2000 Frederiksberg",2795000,2006-01-06, Ejerlejlighed ,22360,4,125,2006
26,26," Frankrigshusene 7, 2. th, 2300 København S",2295000,2006-01-08, Ejerlejlighed ,31438,3,73,1936
27,27," Teglholm Tværvej 25, 3. tv, 2450 København SV",2675000,2006-01-08, Ejerlejlighed ,31471,3,85,2004
28,28," Rentemestervej 19E, 2400 København NV",1845000,2006-01-08, Ejerlejlighed ,21706,4,85,1989
29,29," Virginiavej 5, 2000 Frederiksberg",5600000,2006-01-09, Villa ,22400,9,250,1899
30,30," Funkiavej 41, 2300 København S",4400000,2006-01-09, Villa ,50000,4,88,1937
31,31," Stenlandsvej 48, 2300 København S",3030000,2006-01-09, Villa ,26348,6,115,1955
32,32," C.F. Møllers Allé 32, 8. th, 2300 København S",2843670,2006-01-09, Ejerlejlighed ,29622,2,96,2007
33,33," Sylows Alle 23, 3. mf, 2000 Frederiksberg",5295000,2006-01-09, Ejerlejlighed ,42702,4,124,2007
34,34," Rentemestervej 19D, 2400 København NV",1995000,2006-01-09, Ejerlejlighed ,21685,3,92,1989
35,35," Agerlandsvej 50, 2300 København S",2795000,2006-01-09, Villa ,19144,6,146,1939
36,36," Porcelænshaven 5B, 1. th, 2000 Frederiksberg",2895000,2006-01-09, Ejerlejlighed ,29541,3,98,2006
37,37," Bernhard Bangs Alle 8, st. 17, 2000 Frederiksberg",2325000,2006-01-09, Ejerlejlighed ,25549,3,91,1962
38,38," Porcelænshaven 5B, 3. th, 2000 Frederiksberg",2725000,2006-01-09, Ejerlejlighed ,27806,3,98,2006
39,39," Jagtvej 215A, 8. 2, 2100 København Ø",2000000,2006-01-10, Ejerlejlighed ,31746,2,63,1972
40,40," Tagensvej 57, st. th, 2200 København N",975000,2006-01-10, Ejerlejlighed ,26351,1,37,1933
41,41," Læssøesgade 23, 2. tv, 2200 København N",899932,2006-01-10, Ejerlejlighed ,16362,2,55,1868
42,42," Drejøgade 26C, 5. 505, 2100 København Ø",1900000,2006-01-10, Ejerlejlighed ,29688,2,64,1974
43,43," Hf. Frederikshøj 174, 2450 København SV",280000,2006-01-10, Villa ,3077,2,91,1940
44,44," C.F. Møllers Allé 34, st. th, 2300 København S",3027200,2006-01-10, Ejerlejlighed ,24218,2,125,2007
45,45," Ryesgade 6, 4. th, 2200 København N",3500000,2006-01-10, Ejerlejlighed ,32710,4,107,1892
46,46," Dagmarsgade 17, 2. 309, 2200 København N",1455000,2006-01-10, Ejerlejlighed ,24661,1,59,1974
47,47," Borups Allé 239, 2. tv, 2400 København NV",1500000,2006-01-10, Ejerlejlighed ,23438,2,64,1921
48,48," Martensens Alle 4A, 1. th, 1828 Frederiksberg C",3350000,2006-01-11, Ejerlejlighed ,33838,4,99,1896
49,49," Peder Skrams Gade 15, 5, 1054 København K",4100000,2006-01-11, Ejerlejlighed ,24118,5,170,1876
50,0," Gullandsgade 10, st, 2300 København S",3100000,2006-05-19, Ejerlejlighed ,26724,3,116,1912
51,1," Fuglebakkevej 18, 2000 Frederiksberg",6500000,2006-05-19, Rækkehus ,44521,7,146,1927
52,2," C.F. Møllers Allé 14, 1. th, 2300 København S",2775000,2006-05-19, Ejerlejlighed ,31534,3,88,2007
53,3," Korinthvej 2, 2300 København S",4940000,2006-05-19, Villa ,31871,5,155,1972
54,4," Englandsvej 34C, 1. tv, 2300 København S",1550000,2006-05-19, Ejerlejlighed ,26271,2,59,1935
55,5," Herninggade 21, 3. tv, 2100 København Ø",2250000,2006-05-19, Ejerlejlighed ,36885,2,61,1935
56,6," Rørmosevej 7, 2400 København NV",2252000,2006-05-20, Villa ,24215,4,93,1939
57,7," Ben Websters Vej 138, 2. 14, 2450 København SV",4495000,2006-05-20, Ejerlejlighed ,26916,4,167,2006
58,8," Venøgade 22, 4. tv, 2100 København Ø",3560000,2006-05-21, Ejerlejlighed ,35600,4,100,2007
59,9," Øresundsvej 134B, st, 2300 København S",4000000,2006-05-21, Ejerlejlighed ,36697,3,109,1920
60,10," Burmeistersgade 21, 5. th, 1429 København K",1850000,2006-05-21, Ejerlejlighed ,41111,2,45,1901
61,11," Tønnesvej 20, 3, 2300 København S",1873871,2006-05-21, Ejerlejlighed ,27158,2,69,1935
62,12," Pakhusvej 2, 3. mf, 2100 København Ø",3900000,2006-05-21, Ejerlejlighed ,38614,3,101,2007
63,13," Pakhusvej 8, 5. tv, 2100 København Ø",4900000,2006-05-21, Ejerlejlighed ,43750,3,112,2007
64,14," Sorrentovej 20, 1. tv, 2300 København S",1840000,2006-05-21, Ejerlejlighed ,35385,2,52,1940
65,15," Thoravej 10, 2. 3, 2400 København NV",2880000,2006-05-22, Ejerlejlighed ,18344,1,157,1989
66,16," Classensgade 19B, 1. th, 2100 København Ø",5900000,2006-05-22, Ejerlejlighed ,33333,4,177,1909
67,17," Prinsessegade 1, 1. tv, 1422 København K",2475000,2006-05-22, Ejerlejlighed ,45833,2,54,1914
68,18," Lindgreens Allé 6, 2300 København S",2750000,2006-05-22, Villa ,24775,6,76,1900
69,19," Teglholmsgade 6C, 4. tv, 2450 København SV",2143021,2006-05-22, Ejerlejlighed ,22323,4,96,2006
70,20," Havneholmen 86, 6. th, 1561 København V",10883210,2006-05-22, Ejerlejlighed ,58828,4,185,2008
71,21," Pakhusvej 8, 5. th, 2100 København Ø",4300000,2006-05-22, Ejerlejlighed ,42574,3,101,2007
72,22," Betty Nansens Alle 39, 4. th, 2000 Frederiksberg",3995000,2006-05-22, Ejerlejlighed ,33856,3,118,1976
73,23," Rådmand Steins Alle 5, 3. th, 2000 Frederiksberg",2285000,2006-05-23, Ejerlejlighed ,27866,3,82,1953
74,24," Bogtrykkervej 12, st. tv, 2400 København NV",1658555,2006-05-23, Ejerlejlighed ,28596,2,58,1938
75,25," Teglholm Tværvej 3, 3. tv, 2450 København SV",3750000,2006-05-23, Ejerlejlighed ,29528,4,127,2004
76,26," Kastelsvej 1, 2. 4, 2100 København Ø",1650000,2006-05-23, Ejerlejlighed ,9880,4,167,1891
77,27," Matthæusgade 16, st. th, 1666 København V",350000,2006-05-23, Ejerlejlighed ,4217,2,83,1882
78,28," Rentemestervej 19A, st. 2, 2400 København NV",2495000,2006-05-24, Ejerlejlighed ,17821,1,140,1989
79,29," Øresund Parkvej 20, 4. tv, 2300 København S",4650000,2006-05-24, Ejerlejlighed ,39744,3,117,2005
80,30," Ulrik Birchs Allé 47, st, 2300 København S",6000000,2006-05-24, Ejerlejlighed ,54054,3,111,1915
81,31," Ulrik Birchs Allé 47, 1, 2300 København S",2000000,2006-05-24, Ejerlejlighed ,26316,4,76,1915
82,32," Gormsgade 11, 1. tv, 2200 København N",2675000,2006-05-24, Ejerlejlighed ,28457,3,94,1903
83,33," Hallandsgade 6B, 5. tv, 2300 København S",1700000,2006-05-24, Ejerlejlighed ,34694,2,49,1902
84,34," Jens Otto Krags Gade 7, 1. 3, 2300 København S",1895000,2006-05-24, Ejerlejlighed ,23688,2,80,2006
85,35," H.C. Ørsteds Vej 4C, 2. tv, 1879 Frederiksberg C",5103663,2006-05-24, Ejerlejlighed ,38664,4,132,1959
86,36," Nordre Fasanvej 240A, 1. tv, 2200 København N",3280000,2006-05-24, Ejerlejlighed ,26452,3,124,1902
87,37," Frydendalsvej 4, 1, 1809 Frederiksberg C",2580000,2006-05-25, Ejerlejlighed ,15088,5,171,1886
88,38," Kong Volmers Vej 10, 2300 København S",3300000,2006-05-25, Villa ,18539,5,178,1950
89,39," Vandkunsten 11, 1467 København K",3782500,2006-05-26, Rækkehus ,19804,5,191,1700
90,40," Krogerupgade 55, 4. th, 2200 København N",1795000,2006-05-26, Ejerlejlighed ,34519,2,52,1935
91,41," Drosselvej 55A, 2000 Frederiksberg",6700000,2006-05-26, Rækkehus ,53600,4,125,1988
92,42," Amerikavej 3A, st. th, 1756 København V",1295000,2006-05-26, Ejerlejlighed ,29432,1,44,1896
93,43," Kinavej 33, 2300 København S",3400000,2006-05-28, Villa ,27642,4,123,1930
94,44," Gammel Kongevej 49, 5. tv, 1610 København V",4500000,2006-05-28, Ejerlejlighed ,29605,4,152,1873
95,45," Åboulevard 23, 2. tv, 1960 Frederiksberg C",3895000,2006-05-28, Ejerlejlighed ,25625,6,152,1885
96,46," Korsørgade 4, 3. 2, 2100 København Ø",1525000,2006-05-28, Ejerlejlighed ,34659,1,44,1963
97,47," Gråbrødretorv 15, 2. tv, 1154 København K",3225000,2006-05-28, Ejerlejlighed ,40823,3,79,1860
98,48," Øresundsvej 114, 2. th, 2300 København S",2000000,2006-05-28, Ejerlejlighed ,33898,2,59,1932
99,49," Prinsessegade 1, st. tv, 1422 København K",2198000,2006-05-29, Ejerlejlighed ,40704,2,54,1914
100,0," Nordre Fasanvej 37A, 4. th, 2000 Frederiksberg",1299000,2003-11-28, Ejerlejlighed ,19985,2,65,1932
101,1," Ove Rodes Plads 1, st. th, 2100 København Ø",2185000,2003-11-28, Ejerlejlighed ,18836,4,116,1920
102,2," Tåsingegade 47, st. mf, 2100 København Ø",1250000,2003-11-28, Ejerlejlighed ,14368,2,87,1978
103,3," Frimestervej 7, st. tv, 2400 København NV",950000,2003-11-30, Ejerlejlighed ,19000,2,50,1935
104,4," Nordre Fasanvej 18, st. tv, 2000 Frederiksberg",800000,2003-11-30, Ejerlejlighed ,10959,2,73,1901
105,5," Nordre Fasanvej 18, 1. tv, 2000 Frederiksberg",1000000,2003-11-30, Ejerlejlighed ,13699,3,73,1901
106,6," J.C. Christensens Gade 7, 9. th, 2300 København S",2780000,2003-12-01, Ejerlejlighed ,28367,2,98,2004
107,7," Østerbrogade 212, 1. tv, 2100 København Ø",1198762,2003-12-01, Ejerlejlighed ,13939,3,86,1938
108,8," Backersvej 150A, st. th, 2300 København S",1022640,2003-12-01, Ejerlejlighed ,11238,3,91,1929
109,9," Carl Bernhards Vej 13C, 3. 60, 1817 Frederiksberg C",1500000,2003-12-01, Ejerlejlighed ,16667,3,90,1970
110,10," Borgmester Jensens Allé 22, 4. th, 2100 København Ø",2100000,2003-12-02, Ejerlejlighed ,16031,4,131,1920
111,11," Betty Nansens Alle 21, 3. th, 2000 Frederiksberg",2995000,2003-12-02, Ejerlejlighed ,22351,4,134,1976
112,12," Gerbrandsvej 6, 2. 3, 2300 København S",870000,2003-12-03, Ejerlejlighed ,17400,2,50,1939
113,13," Sankt Annæ Gade 17, st. tv, 1416 København K",1310000,2003-12-04, Ejerlejlighed ,20154,2,65,1938
114,14," Svinget 8, 2. tv, 2300 København S",1825000,2003-12-04, Ejerlejlighed ,16441,4,111,1913
115,15," Kastelsvej 27, 1. tv, 2100 København Ø",2450000,2003-12-04, Ejerlejlighed ,10124,6,242,1905
116,16," Elbagade 77, 3. th, 2300 København S",945000,2003-12-04, Ejerlejlighed ,14538,2,65,1935
117,17," Sundholmsvej 69, 1. 1, 2300 København S",2400000,2003-12-04, Ejerlejlighed ,15287,4,157,1915
118,18," Falkoner Alle 61, 4. th, 2000 Frederiksberg",995000,2003-12-04, Ejerlejlighed ,16864,2,59,1898
119,19," Hf. Elmebo 14, 2300 København S",610000,2003-12-05, Villa ,5810,4,105,2004
120,20," Mitchellsgade 18, 2. th, 1568 København V",2569283,2003-12-05, Ejerlejlighed ,22940,4,112,2004
121,21," Strandvænget 1, 3. tv, 2100 København Ø",2800000,2003-12-07, Ejerlejlighed ,17834,4,157,1929
122,22," Svend Trøsts Vej 6, 4. tv, 1912 Frederiksberg C",2920000,2003-12-07, Ejerlejlighed ,12373,5,236,1914
123,23," Carl Bernhards Vej 13C, 3. 55, 1817 Frederiksberg C",500000,2003-12-07, Ejerlejlighed ,9804,2,51,1970
124,24," Borups Alle 108, 4. th, 2000 Frederiksberg",1160000,2003-12-08, Ejerlejlighed ,17846,2,65,1908
125,25," Munkensvej 12, 1. tv, 2000 Frederiksberg",1345000,2003-12-08, Ejerlejlighed ,17468,3,77,1911
126,26," Gothersgade 23, 2, 1123 København K",1450000,2003-12-08, Ejerlejlighed ,24576,2,59,1700
127,27," Bispeengen 15, 4. th, 2000 Frederiksberg",1251000,2003-12-08, Ejerlejlighed ,16247,3,77,1911
128,28," Johan Semps Gade 1, st. tv, 1402 København K",2100000,2003-12-08, Ejerlejlighed ,16406,3,128,2002
129,29," Lemnosvej 3A, 1. tv, 2300 København S",946000,2003-12-08, Ejerlejlighed ,17200,2,55,1936
130,30," Øresundsvej 138P, 1. tv, 2300 København S",1940750,2003-12-09, Ejerlejlighed ,18138,3,107,2003
131,31," Eversvej 11, 3. tv, 2000 Frederiksberg",1698000,2003-12-09, Ejerlejlighed ,17327,3,98,1981
132,32," Drejøgade 26F, 4. 408, 2100 København Ø",1270400,2003-12-09, Ejerlejlighed ,19248,2,66,1974
133,33," Strandgade 44B, 1. th, 1401 København K",1850000,2003-12-10, Ejerlejlighed ,24026,3,77,1700
134,34," Hyrdeledet 6, 2400 København NV",2095000,2003-12-11, Villa ,15404,4,136,1945
135,35," Øresund Parkvej 2, 4. th, 2300 København S",3745000,2003-12-11, Ejerlejlighed ,24477,4,153,2003
136,36," Ålandsgade 18, 1. th, 2300 København S",1090000,2003-12-11, Ejerlejlighed ,18475,2,59,1940
137,37," Valdemarsgade 2, 3. th, 1665 København V",1850000,2003-12-11, Ejerlejlighed ,15546,4,119,1859
138,38," Erik Eriksens Gade 12, 2. th, 2300 København S",1485000,2003-12-11, Ejerlejlighed ,21838,1,68,2005
139,39," Utterslev Torv 30, 1. tv, 2400 København NV",1298000,2003-12-11, Ejerlejlighed ,14264,4,91,1956
140,40," Teglbrændervej 3, 2. th, 2400 København NV",800000,2003-12-12, Ejerlejlighed ,16000,2,50,1935
141,41," Platanvej 6, 6. 4, 1810 Frederiksberg C",1750000,2003-12-12, Ejerlejlighed ,16667,2,105,1972
142,42," Englandsvej 38D, 4. th, 2300 København S",1195000,2003-12-15, Ejerlejlighed ,19590,2,61,1936
143,43," Blytsvej 5, 1. tv, 2000 Frederiksberg",2300000,2003-12-15, Ejerlejlighed ,19328,4,119,1902
144,44," Vodroffsvej 50B, st. th, 1900 Frederiksberg C",3950000,2003-12-15, Ejerlejlighed ,17634,7,224,1887
145,45," Vennemindevej 51, 2. th, 2100 København Ø",1105000,2003-12-15, Ejerlejlighed ,12557,2,88,1926
146,46," Adriansvej 15, 2300 København S",1350677,2003-12-15, Villa ,5675,8,238,1930
147,47," Elbagade 17, 1. tv, 2300 København S",1350000,2003-12-15, Ejerlejlighed ,17089,2,79,1932
148,48," Mitchellsgade 16, 3. tv, 1568 København V",2678218,2003-12-15, Ejerlejlighed ,24128,4,111,2004
149,49," Rosbæksvej 1, 1. th, 2100 København Ø",1986000,2003-12-15, Ejerlejlighed ,12731,4,156,1957
150,0," Florensvej 1, st. tv, 2300 København S",885000,2003-05-06, Ejerlejlighed ,13409,3,66,1940
151,1," C.F. Richs Vej 94, 1. th, 2000 Frederiksberg",1660000,2003-05-06, Ejerlejlighed ,15810,5,105,1936
152,2," Hf. Engvang 71, 2300 København S",131250,2003-05-06, Villa ,2386,2,55,1970
153,3," Aksel Møllers Have 16, 1. th, 2000 Frederiksberg",1375000,2003-05-07, Ejerlejlighed ,18092,3,76,1944
154,4," Gerbrandsvej 26, 1. 3, 2300 København S",860000,2003-05-07, Ejerlejlighed ,17200,2,50,1938
155,5," Olof Palmes Gade 3, 5. tv, 2100 København Ø",1560000,2003-05-07, Ejerlejlighed ,18571,3,84,1890
156,6," Ålandsgade 32, 3. mf, 2300 København S",1017000,2003-05-08, Ejerlejlighed ,21188,2,48,1940
157,7," Italiensvej 40A, 2300 København S",2428556,2003-05-09, Rækkehus ,21684,4,112,1993
158,8," Johan Kellers Vej 51, 2. th, 2450 København SV",925000,2003-05-09, Ejerlejlighed ,15678,2,59,1936
159,9," Nørre Søgade 37A, 2. 2, 1370 København K",345400,2003-05-10, Ejerlejlighed ,8224,1,42,1969
160,10," Lersø Parkallé 55, 1. th, 2100 København Ø",1095000,2003-05-11, Ejerlejlighed ,20278,2,54,1926
161,11," Finsensvej 36A, 2. tv, 2000 Frederiksberg",1350000,2003-05-11, Ejerlejlighed ,15698,3,86,1979
162,12," Højdevej 5, 3. tv, 2300 København S",850000,2003-05-12, Ejerlejlighed ,14167,2,60,1904
163,13," Englandsvej 12C, st. tv, 2300 København S",1106217,2003-05-13, Ejerlejlighed ,15581,2,71,1935
164,14," Badstuestræde 11, st. tv, 1209 København K",650000,2003-05-13, Ejerlejlighed ,8667,2,75,1800
165,15," Rubingangen 56, 2300 København S",711024,2003-05-13, Villa ,9740,3,73,1950
166,16," Edvard Falcks Gade 2, 2. th, 1569 København V",2619459,2003-05-14, Ejerlejlighed ,25432,3,103,2004
167,17," Kastrupvej 50, 4. m, 2300 København S",1045000,2003-05-15, Ejerlejlighed ,16587,2,63,1970
168,18," Norsvej 7, st. mf, 1916 Frederiksberg C",2000000,2003-05-15, Ejerlejlighed ,19608,3,102,1979
169,19," Kaliforniensvej 17, 2300 København S",1670000,2003-05-15, Villa ,15182,3,110,1932
170,20," Kornskyldvej 94, 2300 København S",1800000,2003-05-16, Villa ,18750,4,96,1952
171,21," Prinsessegade 4B, 2. 45, 1422 København K",1150000,2003-05-16, Ejerlejlighed ,21296,2,54,1975
172,22," Banebrinken 95, 3. 48, 2400 København NV",1005000,2003-05-18, Ejerlejlighed ,15227,2,66,1973
173,23," Harsdorffsvej 7B, 2. th, 1874 Frederiksberg C",1445000,2003-05-19, Ejerlejlighed ,20069,3,72,1909
174,24," Rolfsvej 1, st. tv, 2000 Frederiksberg",1700000,2003-05-19, Ejerlejlighed ,16832,3,101,1888
175,25," Nordre Frihavnsgade 77, 1. th, 2100 København Ø",1729000,2003-05-19, Ejerlejlighed ,18793,4,92,1897
176,26," Pile Alle 5H, 2. tv, 2000 Frederiksberg",2230000,2003-05-19, Ejerlejlighed ,21038,3,106,1975
177,27," Ryesgade 75, 4. th, 2100 København Ø",1850000,2003-05-19, Ejerlejlighed ,21264,3,87,2004
178,28," Stradellasvej 30, 2. 3, 2450 København SV",1031584,2003-05-19, Ejerlejlighed ,18098,2,57,1944
179,29," Vester Søgade 62, 4. tv, 1601 København V",2900000,2003-05-19, Ejerlejlighed ,24786,3,117,1938
180,30," Peter Bangs Vej 78, 4. th, 2000 Frederiksberg",2695000,2003-05-19, Ejerlejlighed ,16333,6,165,1929
181,31," Falkoner Alle 18B, 2. tv, 2000 Frederiksberg",2025000,2003-05-20, Ejerlejlighed ,15458,5,131,1903
182,32," Hallinsgade 28, 2100 København Ø",2800000,2003-05-20, Rækkehus ,21538,6,130,1875
183,33," Sortedam Dossering 65A, 5, 2100 København Ø",50000,2003-05-20, Fritidshus ,155,4,0,1895
184,34," Sortedam Dossering 65B, kl, 2100 København Ø",15000,2003-05-20, Fritidshus ,185,1,0,1895
185,35," Helgesensgade 1, kl. 3, 2100 København Ø",10000,2003-05-20, Fritidshus ,182,2,0,1895
186,36," Arkonagade 15, 5. tv, 1726 København V",773333,2003-05-20, Ejerlejlighed ,5645,1,137,1904
187,37," Nyborggade 8, 1. th, 2100 København Ø",971500,2003-05-21, Ejerlejlighed ,16750,2,58,1903
188,38," Nordre Fasanvej 62, 2. 23, 2000 Frederiksberg",1250000,2003-05-21, Ejerlejlighed ,20492,2,61,1974
189,39," Bianco Lunos Alle 10, 4. th, 1868 Frederiksberg C",2650000,2003-05-21, Ejerlejlighed ,16879,5,157,1963
190,40," Fredensgade 13, 2. tv, 2200 København N",1200000,2003-05-21, Ejerlejlighed ,16438,2,73,1877
191,41," Kongelundsvej 88H, 2300 København S",800000,2003-05-21, Villa ,6612,3,121,2000
192,42," Carl Th. Zahles Gade 12, 1. tv, 2300 København S",2095000,2003-05-21, Ejerlejlighed ,18377,3,114,2004
193,43," Mariendalsvej 73, 3. th, 2000 Frederiksberg",2350000,2003-05-21, Ejerlejlighed ,16786,5,140,1929
194,44," Åboulevard 45A, 3. th, 1960 Frederiksberg C",1970000,2003-05-21, Ejerlejlighed ,15760,4,125,1901
195,45," Johan Semps Gade 9, 5. tv, 1402 København K",2999000,2003-05-22, Ejerlejlighed ,30293,3,99,2003
196,46," Lærkebakken 5, 2400 København NV",2020280,2003-05-22, Villa ,21960,4,92,1958
197,47," Banebrinken 101, 1. 87, 2400 København NV",1080000,2003-05-22, Ejerlejlighed ,14795,2,73,1973
198,48," Gammel Kongevej 87, 4. th, 1850 Frederiksberg C",1150000,2003-05-23, Ejerlejlighed ,8042,5,143,1902
199,49," Slusevej 131, 2300 København S",800000,2003-05-23, Villa ,5333,4,150,2016
200,0," Agerlandsvej 12, 2300 København S",2175000,2004-06-06, Villa ,16992,4,128,1960
201,1," Lange-Müllers Gade 22, 1. th, 2100 København Ø",1602658,2004-06-06, Ejerlejlighed ,21088,2,76,1926
202,2," Kålagervej 34, 2300 København S",1590000,2004-06-06, Villa ,15900,4,100,1952
203,3," Sankt Annæ Gade 15, 1. tv, 1416 København K",2050000,2004-06-07, Ejerlejlighed ,25309,3,81,1938
204,4," Sankt Annæ Gade 15, 5. tv, 1416 København K",1550000,2004-06-07, Ejerlejlighed ,33696,1,46,1938
205,5," Vagtelvej 55, 5. th, 2000 Frederiksberg",1925000,2004-06-07, Ejerlejlighed ,17991,4,107,1969
206,6," Svend Vonveds Vej 11, 2300 København S",1213888,2004-06-07, Villa ,10648,4,114,1923
207,7," Caprivej 3, 4. tv, 2300 København S",990000,2004-06-07, Ejerlejlighed ,17679,2,56,1932
208,8," Koreavej 28, 2300 København S",2950000,2004-06-07, Villa ,15946,4,185,1934
209,9," Weysesgade 40, 2100 København Ø",3400000,2004-06-08, Rækkehus ,25000,5,136,1896
210,10," Nyelandsvej 77A, 2. tv, 2000 Frederiksberg",1675000,2004-06-08, Ejerlejlighed ,16919,4,99,1900
211,11," Øresund Parkvej 5, 3. tv, 2300 København S",2965000,2004-06-09, Ejerlejlighed ,22127,4,134,2003
212,12," Galionsvej 9, 3. 4, 1437 København K",4250000,2004-06-09, Ejerlejlighed ,27244,3,156,1952
213,13," Alperosevej 8, 2300 København S",2190000,2004-06-09, Villa ,21900,4,100,1940
214,14," Randersgade 18, 1. mf, 2100 København Ø",3070200,2004-06-09, Ejerlejlighed ,20199,5,152,1879
215,15," Topasgangen 19, 2300 København S",900000,2004-06-09, Villa ,12329,2,73,1972
216,16," Fiskedamsgade 27B, 5. tv, 2100 København Ø",1248000,2004-06-09, Ejerlejlighed ,22286,2,56,1900
217,17," Svendborggade 16, st. th, 2100 København Ø",925000,2004-06-09, Ejerlejlighed ,15678,2,59,1909
218,18," Platanskellet 10, 2000 Frederiksberg",2495000,2004-06-10, Ejerlejlighed ,20792,4,120,1978
219,19," Fuglevangsvej 6A, 1. tv, 1962 Frederiksberg C",1620000,2004-06-10, Ejerlejlighed ,18202,2,89,1971
220,20," Horsebakken 32, 2400 København NV",1950000,2004-06-10, Villa ,17890,4,109,1957
221,21," Rådmandsgade 48B, 2. tv, 2200 København N",1050000,2004-06-11, Ejerlejlighed ,19091,2,55,1933
222,22," Grøndalsvænge Allé 68, 2400 København NV",1026000,2004-06-11, Villa ,6750,7,152,1929
223,23," Musvågevej 1, st. tv, 2400 København NV",688500,2004-06-11, Ejerlejlighed ,10592,2,65,1906
224,24," Pilestræde 21, 2. 2, 1112 København K",2539209,2004-06-13, Ejerlejlighed ,28213,3,90,1902
225,25," Ved Volden 6, 3. th, 1425 København K",2145000,2004-06-13, Ejerlejlighed ,23571,3,91,1938
226,26," Duevej 65, 3. th, 2000 Frederiksberg",2350000,2004-06-14, Ejerlejlighed ,17803,4,132,1929
227,27," Smallegade 39, 3. tv, 2000 Frederiksberg",2370000,2004-06-14, Ejerlejlighed ,21351,4,111,1888
228,28," Carl Th. Zahles Gade 12, 6. th, 2300 København S",2595000,2004-06-14, Ejerlejlighed ,25950,2,100,2004
229,29," H. Schneekloths Vej 7, 3. tv, 2000 Frederiksberg",1595000,2004-06-14, Ejerlejlighed ,17151,3,93,1933
230,30," Herninggade 7, 5. tv, 2100 København Ø",511654,2004-06-15, Ejerlejlighed ,7995,2,64,1935
231,31," Sverrigsgade 6B, 1. th, 2300 København S",1087500,2004-06-15, Ejerlejlighed ,24167,2,45,1886
232,32," Gartnergade 19, 1, 2200 København N",1550000,2004-06-15, Ejerlejlighed ,19620,2,79,1886
233,33," Poppelgade 7, st. tv, 2200 København N",1100000,2004-06-15, Ejerlejlighed ,22000,2,50,1889
234,34," Händelsvej 26, 1. tv, 2450 København SV",900000,2004-06-15, Ejerlejlighed ,16981,2,53,1939
